ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
55K-1601,1.33,1.67,3.67,2
56K-1459,1.33,1.33,1.67,3
56K-1520,2.67,1.33,2.67,3.33
56K-1553,2.33,2.33,2,2
55K-1444,4,3.67,3.33,3.67
86K-2074,2,2.33,1.67,2.33
55K-1424,3,3,2.33,3.67
86K-2160,2,3,2.33,3.67
85K-2309,2.33,2,1.67,2.67
86K-2118,4,3.67,4,3.67
55K-1509,3,3,2,2.67
55K-1416,2,2,1.33,1.67
56K-1518,2.67,2,3.33,3
85K-2128,2,2.67,2,2.33
56K-1413,2.67,2.33,2.33,2
85K-2228,3.33,3.67,2,3
85K-2214,3.67,3.67,4,3.67
56K-1416,4,2.67,3.67,3.33
86K-2157,3,3,2.67,3.33
85K-2372,2,2.67,1.33,2
86K-2293,1.67,2.67,1,1.67
85K-2447,1,1,2,2
55K-1536,1.67,2,1,3.67
55K-1565,2.33,1.67,1.33,1.67
86K-2085,2.67,2,1,2.33
55K-1518,2.33,2,2.67,3.33
56K-1660,2,2,3.67,2.33
56K-1582,3.67,3,3.33,3
55K-1567,1.67,3.33,3.33,2
56K-1517,3,3,3.33,2.67
56K-1641,1.67,2,2.33,2.67
85K-2068,3,3,1.33,2.67
56K-1631,1.67,2.67,2,2.67
56K-1586,3.67,1.67,1.67,1
86K-2101,2,2.33,2,3.33
56K-1587,3.67,3.33,2.33,1.33
85K-2146,2,1.33,1.33,3
85K-2271,2,2,2.33,3
85K-2233,1.67,2.67,1,2.33
56K-1419,3.67,3.67,4,3.33
56K-1624,3.67,2.33,2.33,2.33
85K-2136,3,3,2.33,3.33
55K-1451,3.33,2.67,2.33,2.33
56K-1649,4,4,2,2.67
86K-2120,3,3,2.33,3
55K-1600,2,2,1.33,2.33
56K-1470,3.33,1.67,3,2.33
86K-2080,1.33,2,2.67,2.33
86K-2180,1.33,1,3,3
85K-2104,2,2.33,1,2.67
55K-1531,4,3,4,3.67
85K-2116,2.33,4,1.67,3.33
85K-2096,2.67,3.67,1.33,2.67
85K-2097,2.67,1.33,1.67,2.33
85K-2267,2,2.67,2,2.33
56K-1570,4,1.67,2.67,2
85K-2131,2,1.67,2,2.67
86K-2248,2.33,3,2.67,3.33
86K-2147,2.33,3,3.33,4
55K-1457,2.33,1.33,2.33,1.67
56K-1511,3.33,1.67,2.67,2
56K-1542,2.67,4,3.33,2
56K-1593,4,4,2.67,1
55K-1512,2.67,2,2.67,2.33
85K-2141,1.67,3.33,1,2.67
85K-2257,2.67,2.67,2,4
86K-2278,1.33,4,2.33,2.67
11K-2346,2.33,2.67,1.33,2.33
85K-2071,2.67,1.67,1.67,2.33
56K-1599,3.33,3,2.67,1
85K-2363,4,4,3.33,3.67
55K-1431,4,4,4,4
55K-1441,2.67,2.67,1.67,4
86K-2077,1,2,1,3.33
86K-2112,4,4,4,3.67
85K-2106,3,3.33,3.67,3.33
85K-2078,3,3,1.33,2
56K-1402,1.33,1,1.33,1.67
55K-1404,4,3,3.67,4
56K-1540,2,2.33,2.33,2.33
86K-2133,2.67,2.33,3.33,3.67
56K-1436,1.67,4,2.67,2
56K-1659,3.67,2.67,4,2
56K-1618,3.33,2.67,2,1
55K-1485,1.33,2.67,3.33,3.33
86K-2140,1.33,2.33,2,3.33
85K-2117,3.33,4,4,3.33
86K-2212,2,2.33,1.67,3
85K-2370,1.33,2.33,1,2.67
55K-1439,3.67,3,2.67,3.67
55K-1537,3.33,2,2.67,3.33
86K-2158,2.67,2.33,2,3
86K-2230,1.33,3,1.33,2
86K-2208,1.67,1.33,1,2.67
85K-2056,2.33,3,1.33,3
86K-2249,1.67,1.33,1,2.33
85K-2147,3,3.67,1.33,2.67
85K-2202,2.67,1,1,2.67
86K-2206,2,2.33,2,2
56K-1575,3,1.67,1,2
85K-2094,2,3,1.33,2.33
85K-2269,2.67,1.67,2,2.33
86K-2062,2.33,1.67,1.67,2.33
56K-1630,3,3,3.33,1.33
86K-2196,1.33,1.67,1,1
86K-2066,2.33,1.33,2,3.33
56K-1492,2.33,2,3,2.67
86K-2193,1.33,2.33,2,3.33
85K-2227,2.33,1,1.67,3.33
56K-1487,3.33,2.33,3.33,3.67
86K-2131,1.33,2.33,2.33,3
85K-2107,2,2.67,2,2.33
55K-1401,2.33,2,1.67,2.67
86K-2182,3.33,3,1.67,3.33
55K-1540,3.67,2.67,2,3.67
86K-2229,2,2.67,2,2.67
85K-2341,2.33,3.33,3,3.33
55K-1525,1,1.33,2.33,2
86K-2222,2,3,2,1.33
86K-2136,1.67,2.33,1,1.67
55K-1469,3.33,4,2.67,2
56K-1506,3.33,1,2.33,2.33
55K-1520,2.33,2.33,1.33,2.67
85K-2324,1.33,2,1,2
85K-2057,2,1.67,3,2.67
85K-2282,2.33,4,2.33,2.67
56K-1412,3.67,2.33,3.33,4
85K-2300,2.33,1,2.33,2.33
55K-1607,2.67,2.33,1,1.67
85K-2278,2.33,1.33,3,3.33
55K-1487,3,2,1,1.33
56K-1497,2.67,2,3,1.67
85K-2253,2,2.33,1,3
56K-1585,2,1.33,3,2.67
55K-1478,3.33,2.67,3,3.33
86K-2239,2,3,1,2.67
85K-2350,2,3,1.67,3
55K-1516,1.67,1.67,1.67,1.67
86K-2105,3,2.67,3.67,4
86K-2152,2,2.33,2.33,1.33
55K-1598,3,2.67,2.67,3
56K-1531,2,2.67,4,3.67
56K-1601,3.33,3.67,3.67,1.33
55K-1505,3,3,3,2.67
56K-1463,1.67,3.33,2,1.67
86K-2184,3,3,4,2.67
56K-1477,4,4,4,3.67
56K-1502,3,2,2.67,2.33
85K-2008,2.67,1,2.67,3.67
56K-1579,1.33,1,1.33,1.67
85K-2125,1.67,1,1.33,2.67
85K-2079,2,2.67,1.33,1.67
55K-1432,2.33,2.67,2.67,2.33
56K-1431,2.67,1.67,2.33,2
86K-2291,2,3.67,1.67,2.33
56K-1619,1.67,1.33,2,1
56K-1450,2.67,1.67,2,1.33
56K-1615,3,2,2.33,2.33
56K-1526,3,2.33,3.33,2
85K-2034,2.67,2,1.33,2
86K-2247,2,2,1,2
86K-2240,2.33,3,2,3.33
56K-1441,1.67,2.67,1,1.67
56K-1426,3.33,3.33,3,3.33
85K-2020,1,1.67,2.33,3
56K-1495,3.67,3.33,4,2.67
86K-2205,3,2.67,2.33,2.67
56K-1565,3.33,1.33,2.67,1.67
86K-2201,2.67,2.67,1.67,2.33
56K-1434,3.67,2.67,3.67,3.33
85K-2353,2.33,3.67,2,3
56K-1486,2.67,1.67,3.33,2
56K-1417,4,4,3.33,4
85K-2365,1.33,3,3,2.67
56K-1500,3.67,2.33,1.67,1.67
56K-1445,3.33,2,3.33,2
56K-1457,2,2,2.67,3.33
55K-1454,4,2.67,2.67,2.33
85K-2025,2.33,3.33,3,2.33
55K-1437,3.67,2.67,4,3.67
85K-2216,2.67,2.67,1.67,3.33
86K-2272,2,3.67,2,1.67
85K-2183,2,3,1.67,2.33
56K-1562,4,3,2.67,3.33
55K-1430,2.33,3,3.67,2.33
85K-2225,2.33,2.33,3.33,3.67
55K-1548,2.33,1,3,2.33
86K-2056,2.67,1,3,3.33
56K-1403,3,2.33,3.67,3
85K-2014,2.33,3.33,2.33,4
56K-1494,2,2,3.33,1.67
85K-2345,2.33,1.33,1.33,1.67
56K-1651,3,1,1.33,2.33
85K-2074,3,3.33,2.67,2.33
86K-2083,1.33,1.67,1.33,2
85K-2121,2,1.33,2.33,3.33
86K-2103,1.67,2,2,3.33
86K-2046,1.67,3,1.67,3.33
86K-2254,1.67,2.33,3.67,2.67
86K-2154,1.33,2,3.67,2.67
86K-2241,1.33,2.33,2.33,2.33
86K-2134,2.67,1.33,1.33,3.33
55K-1568,1.33,1.67,2,1.33
86K-2061,1,1,1.33,2.67
86K-2076,1.33,1.67,2,2.33
56K-1589,4,3.67,4,3.67
86K-2114,2,2.67,2,2.33
56K-1409,4,3.67,4,3
85K-2045,2.33,2.67,2.33,2.33
86K-2269,2.33,3,1.33,2.67
55K-1445,2.33,2,1,2.67
56K-1510,2.33,1.67,2.33,2
56K-1410,2.67,2.33,3.67,2.33
56K-1568,2.67,3,2.33,1
56K-1539,3,3,2,2
56K-1609,3.33,2,1.33,2
85K-2064,2.33,2.67,1.33,2
86K-2119,2.67,2.67,2,2.67
56K-1564,2.33,1,1.67,1.67
85K-2189,3,1.67,3.67,3.33
56K-1475,2.67,2,2.67,1.67
55K-1471,2,1.33,2.33,1.67
85K-2206,3.67,3,3.67,4
56K-1541,3.33,2,3.67,2
85K-2029,2,1.33,2,2
56K-1636,2.33,1.33,2,1.67
56K-1498,4,4,1.33,3.33
86K-2177,2.33,1.67,3.67,4
55K-1490,2,2,4,2
56K-1516,3,1,2.33,2
86K-2255,1.67,3,2.67,3.33
85K-2259,1.67,1.67,1.33,1
55K-1412,3.33,3.67,3,1.67
55K-1482,3.33,1.67,2.67,1.33
56K-1549,2.67,2.33,1.33,1.67
85K-2041,2.67,2.67,2.33,3.33
56K-1435,2.67,1.67,1.67,2
55K-1427,4,2.33,3,2.33
86K-2172,2.67,2,2.33,3.67
85K-2185,3.67,1.67,2.33,3.67
86K-2060,2,2.33,1.33,2.67
56K-1597,3.33,2.67,2.67,3.67
55K-1458,3,3,3,2.67
85K-2319,2.67,1.67,1.67,3
86K-2221,2.67,3,2.33,2.67
56K-1423,2,2,2.67,2.67
55K-1425,4,3,3,2
86K-2246,1.33,2.67,2,3.67
86K-2104,2,2,3.33,2.33
56K-1462,3.33,1.33,1,2
86K-2290,3,4,3.67,3
56K-1557,3,3,4,3.33
56K-1558,2.67,2.33,2.67,2.67
55K-1406,3.67,3,3,3.33
56K-1650,3,2,2.67,1.33
85K-2072,2,1,1,3
56K-1483,3,3.33,3.33,2
55K-1461,4,4,4,4
86K-2270,1,3,1,1.67
56K-1489,3.33,1,2,1.67
85K-2366,2,3.33,1,3
56K-1491,3.33,3,3.67,3
86K-2063,1.67,1.67,3.33,2.67
55K-1466,2,2,2.67,2.33
85K-2288,2,3,3,2.33
55K-1423,2.67,2.67,2.67,3
