ID,Calculus - I,Calculus - II,Linear Algebra,SUM1,Probability & Statistics
56K-1495,54,66,86,70.4,82
56K-1497,62,62,66,63.6,70
56K-1498,50,62,50,53.6,74
56K-1499,78,74,58,68.8,70
56K-1506,62,66,70,66.4,70
56K-1507,78,74,82,78.4,82
56K-1510,66,62,66,64.8,74
56K-1516,58,66,62,62,66
56K-1517,50,62,70,61.6,62
56K-1518,86,86,82,84.4,86
56K-1519,58,66,54,58.8,58
56K-1523,74,66,66,68.4,70
56K-1524,66,62,74,68,70
56K-1527,62,62,66,63.6,74
56K-1531,66,70,70,68.8,70
56K-1532,78,66,78,74.4,74
56K-1533,70,74,78,74.4,78
56K-1536,78,66,74,72.8,66
56K-1538,70,78,78,75.6,74
56K-1541,62,62,66,63.6,66
56K-1542,58,62,74,65.6,62
56K-1543,50,62,58,56.8,78
56K-1547,70,58,66,64.8,66
56K-1551,54,66,58,59.2,62
56K-1552,82,70,78,76.8,78
56K-1553,58,54,50,53.6,78
56K-1557,86,86,86,86,86
56K-1558,62,50,50,53.6,78
56K-1559,58,58,50,54.8,62
56K-1560,50,58,62,57.2,66
56K-1562,78,70,82,77.2,82
56K-1563,50,70,82,68.8,74
56K-1564,50,58,74,62,50
56K-1565,78,74,62,70.4,70
56K-1568,70,66,62,65.6,50
56K-1570,78,62,54,63.6,50
56K-1573,58,66,58,60.4,62
56K-1574,50,62,50,53.6,50
56K-1575,70,66,62,65.6,62
56K-1576,66,62,74,68,86
56K-1579,70,70,74,71.6,70
56K-1582,54,62,66,61.2,70
56K-1585,78,82,50,68,50
56K-1586,74,58,54,61.2,86
56K-1587,50,54,50,51.2,50
56K-1589,78,82,86,82.4,86
56K-1591,58,66,58,60.4,58
56K-1597,58,66,74,66.8,78
56K-1599,50,58,54,54,58
56K-1600,54,62,54,56.4,74
56K-1601,62,58,50,56,54
56K-1602,62,66,70,66.4,70
56K-1607,50,62,58,56.8,58
56K-1608,70,70,62,66.8,70
56K-1609,50,50,66,56.4,66
56K-1610,62,82,74,72.8,82
56K-1612,50,58,62,57.2,78
56K-1613,82,74,66,73.2,70
56K-1614,78,78,74,76.4,78
56K-1615,54,66,58,59.2,74
56K-1618,58,54,58,56.8,54
56K-1619,62,74,66,67.2,74
56K-1624,54,82,70,68.8,58
56K-1625,50,82,70,67.6,70
56K-1626,58,62,62,60.8,70
56K-1627,58,70,54,60,62
56K-1630,54,62,58,58,54
56K-1633,66,70,0,40.8,0
56K-1636,62,66,78,69.6,54
56K-1638,58,74,82,72.4,66
56K-1639,70,74,86,77.6,78
56K-1641,58,66,70,65.2,66
56K-1642,82,74,66,73.2,54
56K-1646,62,66,54,60,50
56K-1647,50,62,50,53.6,54
56K-1648,62,74,62,65.6,0
56K-1649,74,78,66,72,66
56K-1650,50,58,50,52.4,62
56K-1651,58,78,82,73.6,66
56K-1657,70,82,70,73.6,70
56K-1659,62,58,58,59.2,62
56K-1660,74,62,70,68.8,70
56K-1661,82,74,58,70,54
