ID,Calculus - I,Calculus - II,Linear Algebra,Probability & Statistics,,SUM1
56K-1485,58,62,66,0,,62.4
56K-1546,70,62,54,0,,61.2
56K-1567,62,74,78,0,,72
56K-1606,70,70,74,0,,71.6
56K-1633,66,70,0,0,,40.8
56K-1648,62,74,62,0,,65.6
55K-1417,54,62,54,50,,56.4
55K-1460,50,62,58,50,,56.8
55K-1543,54,70,62,50,,62
55K-1568,70,82,62,50,,70.4
55K-1583,66,50,54,50,,56.4
55K-1603,74,62,58,50,,64
56K-1455,78,70,62,50,,69.2
56K-1478,74,66,70,50,,70
56K-1504,86,66,54,50,,67.2
56K-1535,62,62,54,50,,58.8
56K-1540,70,62,50,50,,59.6
56K-1544,62,74,58,50,,64
56K-1545,62,58,74,50,,65.6
56K-1549,70,62,82,50,,72.4
56K-1555,78,66,70,50,,71.2
56K-1556,70,58,50,50,,58.4
56K-1564,50,58,74,50,,62
56K-1568,70,66,62,50,,65.6
56K-1570,78,62,54,50,,63.6
56K-1574,50,62,50,50,,53.6
56K-1585,78,82,50,50,,68
56K-1587,50,54,50,50,,51.2
56K-1646,62,66,54,50,,60
55K-1511,62,62,54,54,,58.8
55K-1532,62,54,50,54,,54.8
56K-1429,74,66,50,54,,62
56K-1453,62,78,74,54,,71.6
56K-1466,70,86,70,54,,74.8
56K-1475,58,70,54,54,,60
56K-1479,50,62,62,54,,58.4
56K-1489,50,70,50,54,,56
56K-1490,62,66,54,54,,60
56K-1511,62,66,70,54,,66.4
56K-1526,58,58,62,54,,59.6
56K-1528,50,74,58,54,,60.4
56K-1537,62,70,62,54,,64.4
56K-1539,74,70,58,54,,66.4
56K-1578,62,58,58,54,,59.2
56K-1580,74,66,58,54,,65.2
56K-1593,66,50,54,54,,56.4
56K-1601,62,58,50,54,,56
56K-1618,58,54,58,54,,56.8
56K-1630,54,62,58,54,,58
56K-1636,62,66,78,54,,69.6
56K-1642,82,74,66,54,,73.2
56K-1647,50,62,50,54,,53.6
56K-1661,82,74,58,54,,70
55K-1437,82,82,66,58,,75.6
55K-1442,74,62,54,58,,62.4
55K-1447,78,58,70,58,,68.8
55K-1517,66,50,50,58,,54.8
56K-1425,50,58,58,58,,55.6
56K-1442,62,74,70,58,,68.8
56K-1446,86,82,70,58,,78.4
56K-1448,62,70,62,58,,64.4
56K-1450,62,66,70,58,,66.4
56K-1473,66,70,74,58,,70.4
56K-1500,58,70,54,58,,60
56K-1512,82,82,74,58,,78.8
56K-1519,58,66,54,58,,58.8
56K-1591,58,66,58,58,,60.4
56K-1599,50,58,54,58,,54
56K-1607,50,62,58,58,,56.8
56K-1624,54,82,70,58,,68.8
55K-1425,70,78,70,62,,72.4
55K-1445,50,54,74,62,,60.8
55K-1471,50,62,70,62,,61.6
55K-1491,62,74,54,62,,62.4
55K-1503,50,54,54,62,,52.8
55K-1506,62,66,54,62,,60
55K-1516,54,62,54,62,,56.4
55K-1521,54,66,78,62,,67.2
55K-1535,50,62,82,62,,66.4
55K-1565,58,62,70,62,,64
55K-1567,62,74,54,62,,62.4
55K-1580,62,54,58,62,,58
55K-1601,58,62,54,62,,57.6
55K-1609,74,66,54,62,,63.6
55K-1753,86,58,54,62,,64.8
56K-1413,58,58,54,62,,56.4
56K-1418,70,70,82,62,,74.8
56K-1428,78,86,74,62,,78.8
56K-1432,62,70,58,62,,62.8
56K-1470,58,70,74,62,,68
56K-1494,78,70,70,62,,72.4
56K-1517,50,62,70,62,,61.6
56K-1542,58,62,74,62,,65.6
56K-1551,54,66,58,62,,59.2
56K-1559,58,58,50,62,,54.8
56K-1573,58,66,58,62,,60.4
56K-1575,70,66,62,62,,65.6
56K-1627,58,70,54,62,,60
56K-1650,50,58,50,62,,52.4
56K-1659,62,58,58,62,,59.2
55K-1408,70,70,66,66,,68.4
55K-1411,70,62,58,66,,62.8
55K-1412,58,50,50,66,,52.4
55K-1416,62,58,74,66,,65.6
55K-1418,58,54,0,66,,33.6
55K-1421,58,66,82,66,,70
55K-1423,50,50,62,66,,54.8
55K-1429,50,70,62,66,,60.8
55K-1456,54,70,62,66,,62
55K-1469,86,74,86,66,,82.4
55K-1482,62,86,66,66,,70.8
55K-1485,50,70,58,66,,59.2
55K-1500,50,78,78,66,,69.6
55K-1507,70,74,78,66,,74.4
55K-1515,66,54,78,66,,67.2
55K-1520,62,70,54,66,,61.2
55K-1537,86,54,86,66,,76.4
55K-1582,70,74,62,66,,68
55K-1589,58,74,70,66,,67.6
55K-1600,62,50,58,66,,56.8
56K-1401,54,62,70,66,,62.8
56K-1414,78,74,82,66,,78.4
56K-1422,62,66,82,66,,71.2
56K-1438,66,58,54,66,,58.8
56K-1451,78,74,66,66,,72
56K-1460,78,82,78,66,,79.2
56K-1463,58,58,74,66,,64.4
56K-1472,62,74,58,66,,64
56K-1484,74,70,66,66,,69.6
56K-1516,58,66,62,66,,62
56K-1536,78,66,74,66,,72.8
56K-1541,62,62,66,66,,63.6
56K-1547,70,58,66,66,,64.8
56K-1560,50,58,62,66,,57.2
