ID,Introduction to Computer Science,Computer Programming,Data Structures,Database Systems
56K-1463,1.67,3.33,2,1.67
56K-1464,2.33,2,3,2.33
56K-1465,3.67,2.67,2.33,2.67
56K-1466,3.33,2.33,2.33,2.33
56K-1470,3.33,1.67,3,2.33
56K-1472,2.67,1.67,2,1.67
56K-1473,2,1.33,2.33,1.67
56K-1474,4,2.67,4,4
56K-1475,2.67,2,2.67,1.67
56K-1477,4,4,4,3.67
56K-1478,2.33,2.67,1.33,2.67
56K-1479,2.33,2,3,2
56K-1480,2,2.33,3.67,1.67
56K-1481,4,3.67,2.33,2.33
56K-1483,3,3.33,3.33,2
56K-1484,3.33,2.67,2.67,2.33
56K-1486,2.67,1.67,3.33,2
56K-1489,3.33,1,2,1.67
56K-1491,3.33,3,3.67,3
56K-1492,2.33,2,3,2.67
56K-1494,2,2,3.33,1.67
56K-1497,2.67,2,3,1.67
56K-1499,3.33,2.67,3.33,2
56K-1500,3.67,2.33,1.67,1.67
56K-1504,3.67,2.67,1.33,1.33
56K-1510,2.33,1.67,2.33,2
56K-1511,3.33,1.67,2.67,2
56K-1512,2,1.67,3.33,1.67
56K-1516,3,1,2.33,2
56K-1518,2.67,2,3.33,3
56K-1519,3.67,3,2,2
56K-1523,3.67,2.67,3.33,1.67
56K-1524,3,2,2.33,3
56K-1526,3,2.33,3.33,2
56K-1527,2,2.67,3,2
56K-1532,4,2.33,3,1.33
56K-1535,3.33,3,4,2
56K-1537,1.33,2,1.33,1
56K-1539,3,3,2,2
56K-1568,2.67,3,2.33,1
56K-1586,3.67,1.67,1.67,1
56K-1593,4,4,2.67,1
56K-1599,3.33,3,2.67,1
55K-1404,4,3,3.67,4
55K-1414,4,3,3,4
55K-1441,2.67,2.67,1.67,4
56K-1454,4,4,4,3.33
56K-1457,2,2,2.67,3.33
56K-1487,3.33,2.33,3.33,3.67
56K-1490,4,3,3.33,2.33
56K-1495,3.67,3.33,4,2.67
56K-1498,4,4,1.33,3.33
56K-1502,3,2,2.67,2.33
56K-1506,3.33,1,2.33,2.33
56K-1507,4,4,4,3.33
56K-1517,3,3,3.33,2.67
56K-1520,2.67,1.33,2.67,3.33
56K-1525,2,3,3.67,3
56K-1528,3.67,3,2.33,2.33
56K-1531,2,2.67,4,3.67
56K-1533,3.67,2.67,3.67,2.67
56K-1536,2.33,1.33,2.67,1.67
56K-1538,1.33,2,3.33,3.67
56K-1540,2,2.33,2.33,2.33
56K-1541,3.33,2,3.67,2
56K-1542,2.67,4,3.33,2
56K-1543,3,2.67,1,1.67
56K-1544,2,2.33,3.67,2
56K-1545,1.33,2.67,3.33,1.67
56K-1547,2.67,2,1.67,2
56K-1549,2.67,2.33,1.33,1.67
56K-1551,1.33,3.33,3,2
56K-1552,4,3.33,4,2.67
56K-1553,2.33,2.33,2,2
56K-1555,3.67,2.33,2,3
56K-1556,4,3,1,2
56K-1557,3,3,4,3.33
56K-1558,2.67,2.33,2.67,2.67
56K-1559,3.33,2,1.33,2.33
56K-1560,2.67,2,1.67,2
56K-1562,4,3,2.67,3.33
56K-1563,2.67,2.33,2,2.33
56K-1564,2.33,1,1.67,1.67
56K-1565,3.33,1.33,2.67,1.67
56K-1567,3,1.67,1.67,1.33
56K-1570,4,1.67,2.67,2
56K-1573,2.67,3,3,2
56K-1574,1.67,2.33,2.33,2
56K-1575,3,1.67,1,2
56K-1576,2.67,3,1.33,3
56K-1578,3.67,3,3.67,1.67
56K-1579,1.33,1,1.33,1.67
56K-1580,3,2,2.33,3
56K-1582,3.67,3,3.33,3
56K-1585,2,1.33,3,2.67
56K-1587,3.67,3.33,2.33,1.33
56K-1589,4,3.67,4,3.67
56K-1591,3.67,2,1.33,1.33
56K-1597,3.33,2.67,2.67,3.67
56K-1600,3.33,2.33,2.33,2.33
56K-1601,3.33,3.67,3.67,1.33
56K-1602,1.67,1.67,1.67,2.33
